;Genre;Console;Editeur;Developpeur;Version;Titre;Complement version;Etat;Boite;Etat boite;Notice;Etat notice;Informations;Cotation;Lien
;puzzle game;NES;;1;EU;Tetris ;;;;;;;;;
;shoot them up;NES;;1;EU;Tiger Heli ;;;;;;;;;
;shoot them up;NES;;1;EU;To The Earth ;;;;;;;;;
;Simulation aérienne;NES;;1;EU;Top Gun ;;;;;;;;;
;Arcade voiture;NES;;1;EU;Turbo Racing ;;;;;;;;;
;;;;1;;;;;;;;;;;
;;;;1;;Famicom (Nintendo);;;;;;;;;
;Action-RPG ;Famicom;Bandai;1;JAP;Saint Seiya;;7;0;;0;;;15 €;http://fr.wikipedia.org/wiki/Les_Chevaliers_du_Zodiaque_:_la_L%C3%A9gende_d%27or
;Action-RPG ;Famicom;Bandai;1;JAP;Dragonball3;;9;1;9;1;9;;40 €;
;?;Famicom;Bothtec;1;JAP;Juliet je t'aime;;7;0;;0;;;;
;RPG;Famicom;Enix;1;JAP;Dragonquest;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Dragon_Quest_%28jeu_vid%C3%A9o%29
;RPG;Famicom;Enix;1;JAP;Dragonquest II;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Dragon_Quest_II
;RPG;Famicom;Enix;1;JAP;Dragonquest III;;9;1;9;1;9;;15 €;http://fr.wikipedia.org/wiki/Dragon_Quest_III
;RPG;Famicom;Enix;1;JAP;Dragonquest IV;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Dragon_Quest_IV
;RPG;Famicom;Square;1;JAP;Final fantasy;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_%28jeu_vid%C3%A9o%29
;RPG;Famicom;Square;1;JAP;Final fantasy II;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_II
;RPG;Famicom;Square;1;JAP;Final fantasy III;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_III
;RPG;Famicom;Square;1;JAP;Final fantasy I+II;;9;1;9;1;9;;45 €;
;;;;1;;;;;;;;;;;
;;;;1;;Super Famicom (Nintendo);;;;;;;;;
;RPG;Super Famicom;Enix;1;JAP;Dragonquest V;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Dragon_Quest_V
;RPG;Super Famicom;Enix;1;JAP;Dragonquest VI;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Dragon_Quest_VI
;RPG;Super Famicom;Squaresoft;1;JAP;Final Fantasy IV ;;9;1;9;1;9;;45 €;http://fr.wikipedia.org/wiki/Final_Fantasy_IV
